#SampleID	BarcodeSequence	LinkerPrimerSequence	Order	Name	Days	Weeks	Months	Months_cat	Months_mitigation	Mitigation_status_num	Mitigation_status	Mitigation_status_begin_end	ASR	Concrete	Type	Type2	Input	Input_num	Collected	Year	Season	Season_num	Summer	Winter	S_Yr	Month	Halves	half_char	Thirds	Fourths	Concentration	Extracted	Ground	Extracted2	Rhodoluna	Rhodoluna_num	num_conc	neg_control	old_sample_ids	Description	ph	ppt	Conduc	Ca	Mg	K	Na	NH4	NO3	Cl	SO4	Br	svol	ppt.1	subppt	temp_avg	hum_avg	dew_pt_avg	wind_spd_avg	pressure_avg	precip_avg	precip_sum	snow_sum	rain_sum	temp_max	wind_spd_max	wind_gust	temp_min	time_to_grind	time_to_extract	grind_to_extract	faith_pd_raw	shannon_raw	evenness_raw	observed_otus_raw	total_reads_in_sample	reads_in_negs_per_sample	percent_reads_in_neg_controls	faith_pd_decontam	shannon_decontam	evenness_decontam	observed_otus_decontam	contam_counts_per_sample	percent_contam_reads	avg_conc	k__Bacteria;f__NA	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__BRC1	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Calditrichaeota	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Deinococcus-Thermus	k__Bacteria;p__Dependentiae	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__Entotheonellaeota	k__Bacteria;p__Epsilonbacteraeota	k__Bacteria;p__FBP	k__Bacteria;p__Fibrobacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__Halanaerobiaeota	k__Bacteria;p__Hydrogenedentes	k__Bacteria;p__Kiritimatiellaeota	k__Bacteria;p__Latescibacteria	k__Bacteria;p__Nitrospirae	k__Bacteria;p__Omnitrophicaeota	k__Bacteria;p__Patescibacteria	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Rokubacteria	k__Bacteria;p__Spirochaetes	k__Bacteria;p__Synergistetes	k__Bacteria;p__Tenericutes	k__Bacteria;p__Thermotogae	k__Bacteria;p__Verrucomicrobia	k__Unassigned;f__NA
101914M_14	BBB	BBB	13	101914M.14	535	77	17	17_	17_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Low	1	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	High	5/3/2016	A	May	na	0	0.215	FALSE	101914M14.fastq	101914M	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	#VALUE!	562	#VALUE!	19.93534586	4.87001989	0.763919964	83	31518	18490	0.586648899	14.1599482	5.327312083	0.898254598	61	18510	0.587283457	0.194	0.0	0.0	0.04746484877413154	0.0	0.0	0.10223905339072314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285719491910165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7074389029160436	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101914M_16	BBB	BBB	13	101914M.16	535	77	17	17_	17_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	High	5/3/2016	A	May	na	0	0.286	FALSE	101914M16.fastq	101914M	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	#VALUE!	562	#VALUE!	30.62509172	3.902485232	0.59129345	97	59492	37595	0.631933705	28.49032013	4.735231395	0.734948459	87	39919	0.670997781	0.194	0.0	0.0012000387493554523	0.026100718707889332	0.0	0.0	0.012675440312714904	0.0	0.0	0.0	0.0027000458225191815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11362768669574298	0.003300065197196908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8403960045145809	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101914M_3	BBB	BBB	13	101914M.3	535	77	17	17_	17_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	Medium	7/25/2016	A	July	high	2	0.081	FALSE	101914M3.fastq	101914M	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	#VALUE!	645	#VALUE!	23.19621971	3.194669999	0.530467434	65	53398	44601	0.835256002	19.42023159	5.121724118	0.927250234	46	51873	0.971440878	0.194	0.0	0.0	0.10088362521818198	0.0	0.0	0.06701029120331796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25257725145866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5795288321198402	0.0	0.0	0.0	0.0	0.0	0.0	0.0
111914M_10	BBB	BBB	14	111914M.10	566	81	18	18_	18_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	Low	6/22/2016	5/12/2016	June	na	0	0.053	FALSE	111914M10.fastq	111914M	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	540	581	41	20.52475211	3.452340628	0.565167685	69	44623	40513	0.907895032	17.81981041	3.612571971	0.665756673	43	40633	0.910584228	0.131666667	0.0	0.023684244797790115	0.05789473017820748	0.0	0.0	0.09035088734749339	0.0	0.0	0.0	0.04298248819052594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1421052879095151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6429823615764682	0.0	0.0	0.0	0.0	0.0	0.0	0.0
111914M_11	BBB	BBB	14	111914M.11	566	81	18	18_	18_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	Medium	6/22/2016	5/12/2016	June	na	0	0.095	FALSE	111914M11.fastq	111914M	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	540	581	41	33.16639805	4.015115829	0.609740121	96	41044	39814	0.970032161	38.46120139	6.05335769	0.937134728	88	40044	0.975635903	0.131666667	0.0	0.0	0.10513757963878155	0.0	0.0	0.08124248831765224	0.0	0.0	0.013142174097626462	0.05376346497089505	0.0	0.011947405517237258	0.0	0.0	0.020310598722191833	0.0	0.0	0.3046595414061872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007168424624565371	0.0	0.3811229554022824	0.0	0.0	0.0	0.007168424624565371	0.0	0.014336942678015665	0.0
111914M_2	BBB	BBB	14	111914M.2	566	81	18	18_	18_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	High	7/27/2016	5/12/2016	July	na	0	0.247	FALSE	111914M2.fastq	111914M	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	540	616	76	17.92933278	3.234032041	0.559389521	55	29020	25730	0.88662991	12.89233147	4.606547205	0.958229064	28	25730	0.88662991	0.131666667	0.0	0.0	0.07876714563825407	0.0	0.0	0.01712327583857139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17123283516653956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7328767433566351	0.0	0.0	0.0	0.0	0.0	0.0	0.0
102313M_13	BBB	BBB	4	102313M.13	174	25	5	5_	5_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Low	8/25/2016	5/31/2016	August	high	2	0.1	FALSE	102313M13.fastq	102313M	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	1037	86	29.06575332	3.81242506	0.596407345	84	54377	42290	0.777718521	35.24935648	6.079054388	0.938743766	89	52180	0.959596888	0.119	0.0	0.025730520825723913	0.2847798667370691	0.0	0.0	0.013519427765823365	0.0	0.0	0.013519427765823365	0.10379405954381143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09289139377597101	0.0	0.0	0.0	0.0	0.0	0.00872216964872727	0.0	0.0	0.0	0.014391589179013724	0.4361098712284229	0.006541673529614093	0.0	0.0	0.0	0.0	0.0	0.0
102313M_2	BBB	BBB	4	102313M.2	174	25	5	5_	5_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	9/8/2016	5/31/2016	September	na	0	0.13	FALSE	102313M2.fastq	102313M	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	1051	100	31.35562006	3.922235144	0.610344468	86	55798	54281	0.972812646	43.47104727	6.013252698	0.91741112	94	54737	0.980984982	0.119	0.008174368825942373	0.0	0.10762937401043984	0.0	0.0	0.050408607759977964	0.0	0.03269756753820212	0.0	0.050408792228843216	0.0	0.0068119740216186445	0.0	0.0	0.03814714675549704	0.0	0.0	0.1294276908796195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028610383125230933	0.0	0.5435969104416571	0.0	0.0	0.0040871844129711865	0.0	0.0	0.0	0.0
102313M_3	BBB	BBB	4	102313M.3	174	25	5	5_	5_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	9/8/2016	5/31/2016	September	na	0	0.127	FALSE	102313M3.fastq	102313M	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	1051	100	24.07812806	3.097551001	0.528774505	58	45017	44172	0.981229313	NA	NA	NA	NA	44447	0.987338117	0.119	0.009779959944645185	0.0	0.029339879833935552	0.0	0.0	0.03422982692116832	0.0	0.0	0.0	0.35452330135521426	0.004889947087232765	0.0	0.0	0.0	0.0	0.0	0.0	0.06356964098492422	0.009779959944645185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4816625833250627	0.0	0.0	0.007334953515938975	0.0	0.004889947087232765	0.0	0.0
033114M_0	BBB	BBB	6	033114M.0	333	48	10	10_	10_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	3/31/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	March	2	second	2	3	Low	7/28/2016	5/12/2016	July	low	1	0.075	FALSE	033114M0.fastq	033114M	5.58	8.3185	9.8	0.199	0.1875	0.046	0.337	0.8825	0.14	0.55	1.6965	0.005	1057.6	8.3185	8.3185	38.26789298	63.86956522	25.52017837	10.51304348	30.01171683	0.029883721	7.71	88	132	68	36.8	52.9	10	773	850	77	25.69879585	3.261791049	0.503694459	89	50181	45691	0.910523903	23.07316335	5.936452212	0.953062291	75	45935	0.915386302	0.077333333	0.0	0.0	0.04592042520167211	0.0	0.0	0.0	0.0	0.0	0.0	0.054940572240412086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18286191719474132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7162770853631748	0.0	0.0	0.0	0.0	0.0	0.0	0.0
