#SampleID	BarcodeSequence	LinkerPrimerSequence	Order	Name	Days	Weeks	Months	Months_cat	Months_mitigation	Mitigation_status_num	Mitigation_status	Mitigation_status_begin_end	ASR	Concrete	Type	Type2	Input	Input_num	Collected	Year	Season	Season_num	Summer	Winter	S_Yr	Month	Halves	half_char	Thirds	Fourths	Concentration	Extracted	Ground	Extracted2	Rhodoluna	Rhodoluna_num	num_conc	neg_control	old_sample_ids	Description	ph	ppt	Conduc	Ca	Mg	K	Na	NH4	NO3	Cl	SO4	Br	svol	ppt.1	subppt	temp_avg	hum_avg	dew_pt_avg	wind_spd_avg	pressure_avg	precip_avg	precip_sum	snow_sum	rain_sum	temp_max	wind_spd_max	wind_gust	temp_min	time_to_grind	time_to_extract	grind_to_extract	faith_pd_raw	shannon_raw	evenness_raw	observed_otus_raw	total_reads_in_sample	reads_in_negs_per_sample	percent_reads_in_neg_controls	faith_pd_decontam	shannon_decontam	evenness_decontam	observed_otus_decontam	contam_counts_per_sample	percent_contam_reads	avg_conc	k__Bacteria;f__NA	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Deinococcus-Thermus	k__Bacteria;p__Epsilonbacteraeota	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__Patescibacteria	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Spirochaetes	k__Bacteria;p__Thermotogae	k__Bacteria;p__Verrucomicrobia	k__Bacteria;f__NA;g__NA	k__Bacteria;p__Acidobacteria;c__Subgroup 5	k__Bacteria;p__Actinobacteria;c__Actinobacteria	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Chloroflexi;c__Chloroflexia	k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria	k__Bacteria;p__Deinococcus-Thermus;c__Deinococci	k__Bacteria;p__Epsilonbacteraeota;c__Campylobacteria	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichia	k__Bacteria;p__Firmicutes;c__Negativicutes	k__Bacteria;p__Fusobacteria;c__Fusobacteriia	k__Bacteria;p__Patescibacteria;c__Saccharimonadia	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__Spirochaetes;c__Spirochaetia	k__Bacteria;p__Thermotogae;c__Thermotogae	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae
101914M_14	BBB	BBB	13	101914M.14	535	77	17	17_	17_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Low	1	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	High	5/3/2016	A	May	na	0	0.215	FALSE	101914M14.fastq	101914M	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	#VALUE!	562	#VALUE!	19.93534586	4.87001989	0.763919964	83	31518	18490	0.586648899	14.1599482	5.327312083	0.898254598	61	18510	0.587283457	0.194	0.0	0.0	0.02288749396426847	0.0	0.0	0.0	0.0	0.0	0.08792853693867697	0.0	0.0	0.8888942539835829	0.0	0.0002897151134717528	0.0	0.0	0.0	0.02288749396426847	0.0	0.0	0.0	0.0	0.0	0.08792853693867697	0.0	0.0	0.0	0.0	0.0	0.041429261226460644	0.0	0.8474649927571222	0.0	0.0002897151134717528	0.0
101914M_16	BBB	BBB	13	101914M.16	535	77	17	17_	17_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	High	5/3/2016	A	May	na	0	0.286	FALSE	101914M16.fastq	101914M	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	#VALUE!	562	#VALUE!	30.62509172	3.902485232	0.59129345	97	59492	37595	0.631933705	28.49032013	4.735231395	0.734948459	87	39919	0.670997781	0.194	0.0	0.0	0.007994107324682077	0.0008882341471868974	0.0	0.0	0.0	0.0	0.012890227257956193	0.0	0.0	0.9782274312701744	0.0	0.0	0.0	0.0	0.0	0.007994107324682077	0.0008882341471868974	0.0	0.0	0.0	0.0	0.01039883879633441	0.0024913884616217857	0.0	0.0	0.0	0.0	0.017136419766459413	0.0	0.9610910115037151	0.0	0.0	0.0
101914M_3	BBB	BBB	13	101914M.3	535	77	17	17_	17_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	Medium	7/25/2016	A	July	high	2	0.081	FALSE	101914M3.fastq	101914M	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	#VALUE!	645	#VALUE!	23.19621971	3.194669999	0.530467434	65	53398	44601	0.835256002	19.42023159	5.121724118	0.927250234	46	51873	0.971440878	0.194	0.0	0.0	0.03533820138355112	0.008070714834742506	0.0	0.0011145272867025364	0.0	0.0	0.0590315142198309	0.002690238278247502	0.0	0.890949269792467	0.0	0.002805534204458109	0.0	0.0	0.0	0.03533820138355112	0.008070714834742506	0.0	0.0011145272867025364	0.0	0.0	0.05820522674865488	0.0008262874711760184	0.0	0.0	0.002690238278247502	0.0	0.012740199846272098	0.0	0.878209069946195	0.0	0.002805534204458109	0.0
111914M_10	BBB	BBB	14	111914M.10	566	81	18	18_	18_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	Low	6/22/2016	5/12/2016	June	na	0	0.053	FALSE	111914M10.fastq	111914M	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	540	581	41	20.52475211	3.452340628	0.565167685	69	44623	40513	0.907895032	17.81981041	3.612571971	0.665756673	43	40633	0.910584228	0.131666667	0.0	0.0	0.033231377779822	0.000850907251109629	0.0	0.0	0.0	0.0	0.09764735643814822	0.0005979348251040637	0.0	0.8509302486029018	0.0	0.016742175102913783	0.0	0.0	0.0	0.033231377779822	0.000850907251109629	0.0	0.0	0.0	0.0	0.0935538026355127	0.0040935538026355125	0.0	0.0	0.0005979348251040637	0.0	0.06802658510222384	0.0	0.7829036635006782	0.0	0.016742175102913783	0.0
111914M_11	BBB	BBB	14	111914M.11	566	81	18	18_	18_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	Medium	6/22/2016	5/12/2016	June	na	0	0.095	FALSE	111914M11.fastq	111914M	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	540	581	41	33.16639805	4.015115829	0.609740121	96	41044	39814	0.970032161	38.46120139	6.05335769	0.937134728	88	40044	0.975635903	0.131666667	0.0	0.0	0.020046260601387814	0.010744397741686774	0.0	0.003158653965727361	0.0	0.0	0.1441042604521601	0.008132912179471236	0.0	0.7778993707563361	0.0	0.03591414430323078	0.0	0.0	0.0	0.020046260601387814	0.010744397741686774	0.0	0.003158653965727361	0.0	0.0	0.11413435471435321	0.02996990573780685	0.0	0.0	0.008132912179471236	0.0	0.12157087074390033	0.007884199268784043	0.6484443007436516	0.0	0.03591414430323078	0.0
111914M_2	BBB	BBB	14	111914M.2	566	81	18	18_	18_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	High	7/27/2016	5/12/2016	July	na	0	0.247	FALSE	111914M2.fastq	111914M	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	540	616	76	17.92933278	3.234032041	0.559389521	55	29020	25730	0.88662991	12.89233147	4.606547205	0.958229064	28	25730	0.88662991	0.131666667	0.0	0.0	0.00997822931785196	0.00816400580551524	0.0	0.0	0.0	0.0	0.057656023222060954	0.0	0.0	0.9032656023222062	0.0	0.02093613933236575	0.0	0.0	0.0	0.00997822931785196	0.00816400580551524	0.0	0.0	0.0	0.0	0.057656023222060954	0.0	0.0	0.0	0.0	0.0	0.07851959361393324	0.0	0.8247460087082729	0.0	0.02093613933236575	0.0
102313M_13	BBB	BBB	4	102313M.13	174	25	5	5_	5_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Low	8/25/2016	5/31/2016	August	high	2	0.1	FALSE	102313M13.fastq	102313M	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	1037	86	29.06575332	3.81242506	0.596407345	84	54377	42290	0.777718521	35.24935648	6.079054388	0.938743766	89	52180	0.959596888	0.119	0.0	0.0	0.027474848321941477	0.012115044927424929	0.0	0.0037247523231702636	0.0	0.0	0.09628676752937564	0.0002879963136471853	0.0	0.8554642500575993	0.0	0.004646340526841256	0.0	0.0	0.0	0.027474848321941477	0.012115044927424929	0.0	0.0037247523231702636	0.0	0.0	0.0944243913677905	0.0018623761615851318	0.0	0.0	0.0002879963136471853	0.0	0.03521234928192919	0.0	0.8202519007756701	0.0	0.004646340526841256	0.0
102313M_2	BBB	BBB	4	102313M.2	174	25	5	5_	5_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	9/8/2016	5/31/2016	September	na	0	0.13	FALSE	102313M2.fastq	102313M	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	1051	100	31.35562006	3.922235144	0.610344468	86	55798	54281	0.972812646	43.47104727	6.013252698	0.91741112	94	54737	0.980984982	0.119	0.0	0.0	0.013003050995205578	0.013856603225337787	0.0	0.0018342292604968764	0.0	0.0009443556588696789	0.12777858491936656	0.00579325875345053	0.0	0.79318611070754	0.0	0.04360380647973267	0.0	0.0	0.0	0.013003050995205578	0.013856603225337787	0.0	0.0018342292604968764	0.0	0.0009443556588696789	0.09320063925613833	0.03457794566322824	0.0	0.0	0.00579325875345053	0.0	0.10244442830161264	0.008244951329362196	0.6824967310765653	0.0	0.04360380647973267	0.0
102313M_3	BBB	BBB	4	102313M.3	174	25	5	5_	5_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	9/8/2016	5/31/2016	September	na	0	0.127	FALSE	102313M3.fastq	102313M	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	1051	100	24.07812806	3.097551001	0.528774505	58	45017	44172	0.981229313	NA	NA	NA	NA	44447	0.987338117	0.119	0.0	0.0	0.008541068866571019	0.007330523672883789	0.0	0.005761298421807747	8.96700143472023e-05	0.0006725251076040173	0.12457406743185076	0.0047973457675753225	0.0	0.7975026901004298	0.0	0.050730810616929696	0.0	0.0	0.0	0.008541068866571019	0.007330523672883789	0.0	0.005761298421807747	8.96700143472023e-05	0.0006725251076040173	0.08839221664275464	0.03618185078909613	0.0	0.0	0.0047973457675753225	0.0	0.046224892395982785	0.0013898852223816357	0.7498879124820655	0.0	0.050730810616929696	0.0
101914U_1	BBB	BBB	13	101914U.1	535	77	17	17_	17_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Low	1	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	Low	7/25/2016	5/19/2016	July	na	0	0.073	FALSE	101914U1.fastq	101914U	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	578	645	67	14.97454083	3.184445213	0.611282027	37	10205	8857	0.867907888	7.415992386	3.696942329	0.924235582	16	8870	0.869181774	0.063666667	0.0	0.0	0.016045197740112992	0.0	0.0	0.0	0.0	0.0	0.05423728813559322	0.005649717514124294	0.0	0.9222598870056496	0.0	0.001807909604519774	0.0	0.0	0.0	0.016045197740112992	0.0	0.0	0.0	0.0	0.0	0.05423728813559322	0.0	0.0	0.0	0.005649717514124294	0.0	0.023615819209039546	0.0004519774011299435	0.8981920903954803	0.0	0.001807909604519774	0.0
